created_date,product,campaign_name,clicks,cost,leads,prospect,funding,NTF,campaign
2022-02-15,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-02-16,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,1.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-02-21,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,1.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-02-22,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-03-02,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-03-08,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,3.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-03-09,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-03-10,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,1.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-03-11,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,1.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-03-17,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,1.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-03-19,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-03-22,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-03-24,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-03-26,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,1.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-03-28,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,1.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-03-31,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,1.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-04-06,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,1.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-04-08,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,1.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-04-11,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,1.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-04-12,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,1.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
